,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,源岩掉落数,源岩单件期望理智,代糖掉落数,代糖单件期望理智,酯原料掉落数,酯原料单件期望理智,异铁碎片掉落数,异铁碎片单件期望理智,双酮掉落数,双酮单件期望理智,破损装置掉落数,破损装置单件期望理智
76,SL-1,火山旅梦,2023-08-01 16:00:00+08:00,9,246365,153460,14.448618532516617,102611,21.608648195612556,101960,21.74661632012554,81266,27.28428863239239,81171,27.316221310566583,61045,36.3221394053567
77,SL-2,火山旅梦,2023-08-01 16:00:00+08:00,9,68233,42547,14.433379556725503,28593,21.477179729304375,28221,21.760284894227702,22905,26.810609037328096,22635,27.13041749502982,16724,36.71950490313322
78,SL-3,火山旅梦,2023-08-01 16:00:00+08:00,9,229293,142438,14.48796669428102,94945,21.735078203170257,94750,21.779810026385224,75264,27.41864636479592,75708,27.257845934379457,56829,36.31309718629573
79,IC-1,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,9,19336,12139,14.335942005107505,7999,21.755719464933115,8102,21.479140952851147,6457,26.95121573486139,6467,26.909540745322406,4831,36.02235561995446
80,IC-2,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,9,10492,6513,14.498387839705204,4363,21.642906257162505,4431,21.31076506431957,3502,26.964020559680183,3377,27.962096535386436,2594,36.40246723207402
81,CV-1,不义之财,2023-09-05 16:00:00+08:00,9,37727,23492,14.453558658266644,15439,21.99255133104476,15680,21.65452806122449,12535,27.08759473474272,12376,27.43560116354234,9309,36.47470190138576
82,CV-2,不义之财,2023-09-05 16:00:00+08:00,9,10560,6666,14.257425742574258,4417,21.516866651573466,4415,21.526613816534542,3443,27.603833865814696,3505,27.115549215406563,2590,36.69498069498069
83,CV-3,不义之财,2023-09-05 16:00:00+08:00,9,9129,5702,14.40915468256752,3734,22.003481521156935,3750,21.9096,3060,26.85,3099,26.512100677637946,2223,36.959514170040485
84,IS-1,叙拉古人・复刻,2023-10-22 16:00:00+08:00,9,77023,48279,14.35835456409619,32111,21.58783594406901,31867,21.753130197382873,25545,27.136699941280092,25254,27.449394155381327,18998,36.488419833666704
85,IS-2,叙拉古人・复刻,2023-10-22 16:00:00+08:00,9,13810,8536,14.560684161199624,5523,22.504073872895166,5779,21.507181173213358,4633,26.827109864018993,4602,27.00782268578879,3430,36.23615160349854
86,IS-3,叙拉古人・复刻,2023-10-22 16:00:00+08:00,9,11637,7204,14.538173237090506,4833,21.670391061452513,4841,21.634579632307375,3863,27.11183018379498,3815,27.452948885976408,2832,36.98199152542373
87,RS-1,银心湖列车,2023-12-05 16:00:00+08:00,9,58566,36643,14.384575498731,24430,21.575685632419155,24547,21.472848005866297,19417,27.14600607714889,19444,27.10831104710965,14593,36.119646405811004
88,RS-2,银心湖列车,2023-12-05 16:00:00+08:00,9,18271,11339,14.502072493165182,7468,22.01914836636315,7621,21.577089620784673,6049,27.18449330467846,6018,27.324526420737786,4570,35.98227571115974
89,RS-3,银心湖列车,2023-12-05 16:00:00+08:00,9,24396,15184,14.460221285563751,10176,21.576650943396228,10252,21.41669918064768,8192,26.80224609375,8142,26.96683861459101,6087,36.070970921636274
90,FC-1,照我以火・复刻,2023-12-22 16:00:00+08:00,9,30447,18961,14.451927640947208,12728,21.529148334380892,12800,21.408046875,10254,26.72352252779403,10163,26.962806257994686,7515,36.463473053892216
91,FC-2,照我以火・复刻,2023-12-22 16:00:00+08:00,9,55207,34394,14.446211548525905,22872,21.723635886673662,22911,21.686657064292262,18495,26.8647201946472,18256,27.216421998247153,13670,36.34696415508412
92,TG-1,去咧嘴谷,2024-01-09 16:00:00+08:00,9,16933,10564,14.426069670579325,7099,21.467389773207493,6979,21.836509528585758,5583,27.296614723267062,5664,26.90625,4165,36.589915966386556
93,TG-2,去咧嘴谷,2024-01-09 16:00:00+08:00,9,11640,7310,14.331053351573187,4907,21.349093132260037,4793,21.856874608804507,3916,26.75178753830439,3837,27.30258014073495,2912,35.97527472527472
94,TG-3,去咧嘴谷,2024-01-09 16:00:00+08:00,12,11551,9707,14.27959204697641,6410,21.62433697347894,6448,21.496898263027294,5141,26.96206963625754,5076,27.307328605200947,3837,36.1250977326036
95,TG-4,去咧嘴谷,2024-01-09 16:00:00+08:00,12,12663,10549,14.404777704047778,7023,21.636907304570695,7050,21.55404255319149,5632,26.980823863636363,5669,26.804727465161402,4170,36.44028776978417
96,WB-1,登临意・复刻,2024-01-18 16:00:00+08:00,9,36784,23155,14.297387173396675,15359,21.55452828960219,15292,21.648966780015694,12262,26.998532050236502,12302,26.910746220126807,9138,36.2284963887065
97,WB-2,登临意・复刻,2024-01-18 16:00:00+08:00,9,25454,16023,14.297322598764277,10561,21.691695862134267,10581,21.650694641338248,8499,26.95446523120367,8301,27.597397903867005,6235,36.74194065757819
98,WB-3,登临意・复刻,2024-01-18 16:00:00+08:00,9,46336,29076,14.342550557160544,19517,21.36721832248809,19430,21.462892434379825,15460,26.974385510996118,15493,26.916930226553927,11674,35.72246016789447
99,HS-1,怀黍离,2024-02-01 16:00:00+08:00,9,92086,57611,14.385690232768047,38150,21.724089121887285,38486,21.53442810372603,30643,27.046111673139052,30675,27.017897310513447,22561,36.73480785426178
100,HS-2,怀黍离,2024-02-01 16:00:00+08:00,9,20540,12870,14.363636363636363,8641,21.39335725031825,8584,21.5354147250699,6779,27.269508777105766,6809,27.149361139668088,4928,37.512175324675326
101,HS-3,怀黍离,2024-02-01 16:00:00+08:00,9,22984,14407,14.35802040674672,9585,21.581220657276994,9554,21.651245551601424,7549,27.401775069545636,7698,26.871395167575994,5696,36.31601123595506
102,CR-1,水晶箭行动,2024-03-07 16:00:00+08:00,9,62241,38919,14.393201264164032,25728,21.77273787313433,25826,21.690118485247424,20691,27.073075250108744,20672,27.09795859133127,15553,36.01678132836109
103,CR-2,水晶箭行动,2024-03-07 16:00:00+08:00,9,23786,14847,14.418670438472418,9939,21.53878659824932,9921,21.577865134563048,7961,26.890340409496293,7932,26.988653555219365,5803,36.890229191797346
