,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
105,CV-4,不义之财,2023-09-05 16:00:00+08:00,12,516296,固源岩,860476,0.5563475215767699,0.04636229346473083,21.56925219328784,聚酸酯,287240,0.5563475215767699,0.04636229346473083,21.56925219328784,287128.31082177797
148,GO-4,追迹日落以西,2024-10-09 16:00:00+08:00,12,57610,固源岩,95914,0.5572817219232772,0.04644014349360643,21.53309453356175,聚酸酯,32105,0.5572817219232772,0.04644014349360643,21.53309453356175,32038.718073435834
101,IC-3,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,12,83680,固源岩,139457,0.5582934990439771,0.046524458253664754,21.49407080782568,聚酸酯,46718,0.5582934990439771,0.046524458253664754,21.49407080782568,46537.05829517637
108,IS-5,叙拉古人・复刻,2023-10-22 16:00:00+08:00,12,17038,酮凝集,15126,0.5615095668505693,0.046792463904214106,21.37096268422703,聚酸酯,9567,0.5615095668505693,0.046792463904214106,21.37096268422703,9475.36327955563
1,GT-4,骑兵与猎人,2019-05-30 10:00:00+08:00,12,826,酮凝集,769,0.5653753026634383,0.04711460855528652,21.224839400428266,聚酸酯,467,0.5653753026634383,0.04711460855528652,21.224839400428266,459.3643660589828
20,DM-4,生于黑夜・复刻,2021-03-30 16:00:00+08:00,12,54,固源岩,87,0.35185185185185186,0.02932098765432099,34.10526315789473,异铁,19,0.35185185185185186,0.02932098765432099,34.10526315789473,23.968226297732276
2,DM-4,生于黑夜,2020-04-21 16:00:00+08:00,12,1819,固源岩,3029,0.4359538207806487,0.03632948506505406,27.525851197982345,异铁,793,0.4359538207806487,0.03632948506505406,27.525851197982345,807.3741413995372
142,SL-5,火山旅梦・复刻,2024-08-22 16:00:00+08:00,12,4041,酮凝集,3624,0.437268002969562,0.0364390002474635,27.443123938879456,异铁,1767,0.437268002969562,0.0364390002474635,27.443123938879456,1793.6222679469656
55,SN-7,愚人号,2022-05-01 16:00:00+08:00,15,4316,装置,3606,0.54935125115848,0.03662341674389867,27.304934626739772,异铁,2371,0.54935125115848,0.03662341674389867,27.304934626739772,2394.6033495604747
97,DV-4,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,12,22376,糖,24888,0.44020378977475866,0.036683649147896555,27.26010152284264,异铁,9850,0.44020378977475866,0.036683649147896555,27.26010152284264,9931.722808112174
76,FC-4,照我以火,2022-12-15 16:00:00+08:00,12,24282,酮凝集,21590,0.44024380199324603,0.03668698349943717,27.25762394761459,异铁,10690,0.44024380199324603,0.03668698349943717,27.25762394761459,10777.712425213613
64,IC-6,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,15,36572,装置,30094,0.5503937438477524,0.03669291625651683,27.25321675194992,异铁,20129,0.5503937438477524,0.03669291625651683,27.25321675194992,20290.878985200576
69,IS-4,叙拉古人,2022-11-01 16:00:00+08:00,12,426007,固源岩,710434,0.4424504761658846,0.03687087301382372,27.121679479221378,异铁,188487,0.4424504761658846,0.03687087301382372,27.121679479221378,189085.7811188525
87,SN-7,愚人号・复刻,2023-04-20 16:00:00+08:00,15,64298,装置,53514,0.5538585959127811,0.036923906394185406,27.082724924182862,异铁,35612,0.5538585959127811,0.036923906394185406,27.082724924182862,35673.819779897916
68,NL-7,长夜临光・复刻,2022-09-22 16:00:00+08:00,15,48063,装置,40050,0.5541476811684664,0.036943178744564424,27.06859653075017,异铁,26634,0.5541476811684664,0.036943178744564424,27.06859653075017,26666.316216386724
104,IC-6,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,15,82932,装置,69129,0.5544421936043988,0.03696281290695992,27.054218046584456,异铁,45981,0.5544421936043988,0.03696281290695992,27.054218046584456,46012.33665100771
123,CR-5,水晶箭行动,2024-03-07 16:00:00+08:00,12,560076,装置,376251,0.4440986580392661,0.037008221503272175,27.021022880323564,异铁,248729,0.4440986580392661,0.037008221503272175,27.021022880323564,248593.11688756855
114,FC-4,照我以火・复刻,2023-12-22 16:00:00+08:00,12,20624,酮凝集,18238,0.44453064391000774,0.03704422032583398,26.994764397905758,异铁,9168,0.44453064391000774,0.03704422032583398,26.994764397905758,9154.087021563526
107,IS-4,叙拉古人・复刻,2023-10-22 16:00:00+08:00,12,292952,固源岩,488336,0.4450763264971736,0.03708969387476447,26.961667663706223,异铁,130386,0.4450763264971736,0.03708969387476447,26.961667663706223,130028.51537728272
100,SL-5,火山旅梦,2023-08-01 16:00:00+08:00,12,217898,酮凝集,193394,0.4463694021973584,0.0371974501831132,26.883563122667407,异铁,97263,0.4463694021973584,0.0371974501831132,26.883563122667407,96715.34395969014
59,DV-4,绿野幻梦,2022-07-05 16:00:00+08:00,12,8165,糖,9076,0.44727495407225965,0.03727291283935497,26.829134720700985,异铁,3652,0.44727495407225965,0.03727291283935497,26.829134720700985,3624.08458742563
37,NL-7,长夜临光,2021-11-01 16:00:00+08:00,15,688,装置,615,0.6162790697674418,0.04108527131782946,24.339622641509433,异铁,424,0.6162790697674418,0.04108527131782946,24.339622641509433,381.71619659351404
